time_mult,mem_div,n_through,e_through,time,batch_size
128,10000,18.285714285714285,None,62.498,1
256,10000,23.272727272727273,None,62.709,1
512,10000,42.666666666666664,None,62.615,1
1024,10000,68.26666666666667,None,62.561,1
2048,10000,75.85185185185185,None,62.886,1
4096,10000,89.04347826086956,None,62.542,1
8192,10000,92.04494382022472,None,62.484,1
16384,10000,95.81286549707602,None,62.511,1
32768,10000,97.52380952380952,None,62.545,1
65536,10000,98.55037593984963,None,62.482,1
131072,10000,98.7731725697061,None,62.579,1
262144,10000,98.88494907582044,None,62.555,1
524288,10000,98.9596073990185,None,62.545,1
1048576,10000,99.01567516525023,None,62.577,1
2097152,10000,99.0437328799471,None,62.583,1
4194304,10000,99.06010722467585,None,62.812,1
8388608,10000,99.06712645850064,None,62.589,1
