time_mult,mem_div,n_through,e_through,time,batch_size
128,10000,16.0,None,2.957,1
256,10000,32.0,None,2.954,1
512,10000,64.0,None,3.028,1
1024,10000,113.77777777777777,None,3.08,1
2048,10000,186.1818181818182,None,3.063,1
4096,10000,195.04761904761904,None,3.244,1
8192,10000,234.05714285714285,None,3.465,1
16384,10000,237.44927536231884,None,3.453,1
32768,10000,250.13740458015266,None,3.459,1
65536,10000,250.13740458015266,None,3.075,1
131072,10000,253.52417794970987,None,3.162,1
262144,10000,253.76960309777348,None,3.208,1
524288,10000,253.89249394673124,None,2.984,1
1048576,10000,254.015503875969,None,3.022,1
2097152,10000,254.015503875969,None,3.107,1
4194304,10000,254.10783957348843,None,3.215,1
8388608,10000,254.16173307074686,None,3.144,1
