time_mult,mem_div,n_through,e_through,time,batch_size
128,100,128.0,None,3.7605,4
128,10000,128.0,None,3.831,4
128,1000000,128.0,None,3.8405,4
128,100000000,128.0,None,3.833,4
256,100,256.0,None,3.7875,4
256,10000,256.0,None,3.815,4
256,1000000,256.0,None,3.8215,4
256,100000000,256.0,None,3.807,4
512,100,512.0,None,3.8585000000000003,4
512,10000,512.0,None,3.8725,4
512,1000000,512.0,None,3.8425000000000002,4
512,100000000,512.0,None,3.863,4
1024,100,1024.0,None,3.87,4
1024,10000,1024.0,None,3.879,4
1024,1000000,1024.0,None,3.885,4
1024,100000000,1024.0,None,3.8655,4
2048,100,1024.0,None,3.952,4
2048,10000,1024.0,None,4.1645,4
2048,1000000,1024.0,None,4.015,4
2048,100000000,1024.0,None,3.9755000000000003,4
4096,100,1365.3333333333333,None,4.1195,4
4096,10000,1365.3333333333333,None,4.09,4
4096,1000000,1365.3333333333333,None,4.1275,4
4096,100000000,1365.3333333333333,None,4.252000000000001,4
8192,100,1365.3333333333333,None,4.2575,4
8192,10000,1365.3333333333333,None,4.172499999999999,4
8192,1000000,1365.3333333333333,None,4.177,4
8192,100000000,1365.3333333333333,None,4.220000000000001,4
16384,100,1489.4545454545455,None,4.298,4
16384,10000,1489.4545454545455,None,4.244999999999999,4
16384,1000000,1489.4545454545455,None,4.2705,4
16384,100000000,1489.4545454545455,None,4.272,4
32768,100,1560.3809523809523,None,4.247,4
32768,10000,1560.3809523809523,None,4.27,4
32768,1000000,1560.3809523809523,None,4.2780000000000005,4
32768,100000000,1560.3809523809523,None,4.192,4
65536,100,1598.439024390244,None,4.37,4
65536,10000,1598.439024390244,None,4.395,4
65536,1000000,1598.439024390244,None,4.429,4
65536,100000000,1598.439024390244,None,4.3305,4
131072,100,1618.1728395061727,None,4.311999999999999,4
131072,10000,1618.1728395061727,None,4.336,4
131072,1000000,1618.1728395061727,None,4.3629999999999995,4
131072,100000000,1618.1728395061727,None,4.293,4
262144,100,1628.223602484472,None,4.406499999999999,4
262144,10000,1628.223602484472,None,4.3125,4
262144,1000000,1628.223602484472,None,4.372,4
262144,100000000,1628.223602484472,None,4.4285,4
524288,100,1633.2959501557632,None,4.5365,4
524288,10000,1633.2959501557632,None,5.274,4
524288,1000000,1633.2959501557632,None,5.281000000000001,4
524288,100000000,1633.2959501557632,None,5.111,4
1048576,100,1635.8439937597504,None,4.758,4
1048576,10000,1635.8439937597504,None,4.7395,4
1048576,1000000,1635.8439937597504,None,4.3469999999999995,4
1048576,100000000,1635.8439937597504,None,4.285500000000001,4
2097152,100,1635.8439937597504,None,4.2775,4
2097152,10000,1635.8439937597504,None,4.301,4
2097152,1000000,1635.8439937597504,None,4.292999999999999,4
2097152,100000000,1635.8439937597504,None,4.302,4
4194304,100,1636.4822473663676,None,4.2795,4
4194304,10000,1636.4822473663676,None,4.4505,4
4194304,1000000,1636.4822473663676,None,4.285,4
4194304,100000000,1636.4822473663676,None,4.305,4
8388608,100,1636.4822473663676,None,4.3695,4
8388608,10000,1636.4822473663676,None,4.3100000000000005,4
8388608,1000000,1636.4822473663676,None,4.239,4
8388608,100000000,1636.4822473663676,None,4.311,4
