time_res,mem_res,num_th,exa_th,time,batch_size
2,100000,190.02717571455702,1493.6519786407766,23.497,3
3,100000,285.04076357183556,1493.6519786407766,23.579,3
4,100000,380.05435142911404,1493.6519786407766,23.65,3
5,100000,475.0679392863926,1493.6519786407766,23.462,3
6,100000,570.0815271436711,1493.6519786407766,23.377,3
7,100000,665.0951150009496,1493.6519786407766,20.415,3
8,100000,760.1087028582281,1493.6519786407766,20.471,3
9,100000,855.1222907155066,1271.4558165289257,16.698,3
10,100000,950.1358785727851,1271.4558165289257,16.722,3
11,100000,464.51087396891717,760.1094555335968,14.345,3
12,100000,456.06522171493685,760.1094555335968,13.686,3
13,100000,494.07065685784823,760.1094555335968,13.921,3
14,100000,532.0760920007597,760.1094555335968,14.093,3
15,100000,570.0815271436711,875.1203287827077,15.509,3
16,100000,1013.4782704776376,1493.6519786407766,18.579,3
18,100000,977.2826179605789,1271.4558165289257,20.037,3
20,100000,950.1358785727851,1271.4558165289257,20.262,3
22,100000,696.7663109533758,1122.9646262773722,20.266,3
24,100000,760.1087028582281,1122.9646262773722,20.32,3
26,100000,760.1087028582281,990.0009897039896,20.046,3
28,100000,818.5786030780919,990.0009897039896,20.195,3
30,100000,877.0485032979556,1122.9646262773722,22.249,3
32,100000,935.5184035178193,1122.9646262773722,20.548,3
36,100000,912.1304434298737,1122.9646262773722,20.317,3
40,100000,950.1358785727851,1122.9646262773722,20.324,3
44,100000,929.0217479378343,1122.9646262773722,19.882,3
48,100000,960.1373088735513,1122.9646262773722,20.387,3
52,100000,988.1413137156965,1122.9646262773722,20.285,3
56,100000,1064.1521840015193,1122.9646262773722,20.303,3
60,100000,1036.5118675339475,1493.6519786407766,21.778,3
64,100000,1013.4782704776376,1122.9646262773722,19.994,3
72,100000,1094.5565321158485,1493.6519786407766,23.249,3
80,100000,1126.086967197375,1493.6519786407766,23.184,3
88,100000,1153.268376750415,1493.6519786407766,23.24,3
96,100000,1140.1630542873422,1493.6519786407766,22.869,3
104,100000,1235.1766421446207,1493.6519786407766,24.008,3
112,100000,1216.173924573165,1493.6519786407766,23.863,3
120,100000,1232.6087073376673,1493.6519786407766,24.111,3
128,100000,1247.357871357092,1493.6519786407766,23.836,3
144,100000,1272.7401536230796,1493.6519786407766,23.816,3
160,100000,1293.8020474182606,1493.6519786407766,23.542,3
176,100000,1337.7913170304814,1493.6519786407766,23.857,3
192,100000,1326.7351904434527,1493.6519786407766,23.949,3
208,100000,1362.9535361595815,1493.6519786407766,23.782,3
224,100000,1373.099592260025,1493.6519786407766,23.771,3
240,100000,1361.388721537125,1493.6519786407766,23.446,3
256,100000,1389.9130566550457,1493.6519786407766,24.068,3
260,100000,1391.7483291770372,1493.6519786407766,24.041,3
264,100000,1374.4431339354262,1493.6519786407766,23.833,3
268,100000,1395.2680299041447,1493.6519786407766,23.758,3
272,100000,1396.9565349826896,1493.6519786407766,23.66,3
276,100000,1380.19738150573,1493.6519786407766,23.936,3
280,100000,1400.200242107262,1493.6519786407766,23.983,3
284,100000,1401.7589065697193,1493.6519786407766,23.844,3
288,100000,1403.2776052767288,1493.6519786407766,23.808,3
292,100000,1404.7578559152064,1493.6519786407766,23.573,3
296,100000,1406.201100287722,1493.6519786407766,23.949,3
300,100000,1407.6087089967189,1493.6519786407766,24.095,3
304,100000,1408.9819857859839,1493.6519786407766,24.085,3
308,100000,1410.3221715682785,1493.6519786407766,23.806,3
312,100000,1411.6304481652808,1493.6519786407766,23.548,3
316,100000,1412.9079417835298,1493.6519786407766,23.786,3
320,100000,1414.1557262478664,1493.6519786407766,23.873,3
324,100000,1399.291021170829,1493.6519786407766,23.838,3
328,100000,1416.5662189630614,1493.6519786407766,23.654,3
332,100000,1433.8414167552942,1493.6519786407766,23.737,3
336,100000,1403.2776052767288,1493.6519786407766,23.904,3
340,100000,1419.9832910538325,1493.6519786407766,23.989,3
344,100000,1436.6889768309368,1493.6519786407766,23.898,3
348,100000,1422.1388634121688,1493.6519786407766,23.618,3
352,100000,1423.1822521600866,1493.6519786407766,23.601,3
356,100000,1424.203674829101,1493.6519786407766,23.875,3
360,100000,1425.2038178591777,1493.6519786407766,23.912,3
364,100000,1441.0394158353909,1493.6519786407766,23.873,3
368,100000,1427.1428706725915,1493.6519786407766,23.831,3
372,100000,1428.0830174912164,1493.6519786407766,23.745,3
376,100000,1429.0043613734688,1493.6519786407766,23.847,3
380,100000,1444.2065354306335,1493.6519786407766,23.996,3
384,100000,1430.7928524390177,1493.6519786407766,23.663,3
388,100000,1431.6610519854005,1493.6519786407766,23.762,3
392,100000,1446.4204442739099,1493.6519786407766,23.662,3
396,100000,1433.3478396755158,1493.6519786407766,23.698,3
