time_res,mem_res,num_th,exa_th,time,batch_size
8,100000,7.401287387616099,40.661315625330374,315.225,1
16,100000,14.802574775232198,40.661315625330374,381.638,1
32,100000,25.37584247182663,42.97858805453122,380.396,1
64,100000,39.47353273395253,45.96813487510457,1022.154,1
128,100000,26.315688489301692,27.300921670925604,7214.001,1
256,100000,26.315688489301692,27.300921670925604,7214.331,1
512,100000,27.067565303281736,29.431820643338956,7213.992,1
1024,100000,27.863670165142967,29.431820643338956,7214.309,1
2048,100000,28.63571140397564,29.431820643338956,7209.303,1
4096,100000,29.038001091643245,29.431820643338956,7209.722,1
8192,100000,29.26223276030458,29.431820643338956,7209.149,1
16384,100000,29.328287461795114,29.431820643338956,7209.35,1
32768,100000,29.38514359257727,29.431820643338956,7210.039,1
65536,100000,29.413654404601115,29.431820643338956,7210.06,1
131072,100000,29.420790754234257,29.431820643338956,7210.092,1
262144,100000,29.42495522424173,29.431820643338956,7209.926,1
524288,100000,29.42852570842369,29.431820643338956,7212.666,1
1048576,100000,29.430311275471773,29.431820643338956,7212.787,1
2097152,100000,29.43120414025234,29.431820643338956,7212.798,1
4194304,100000,29.431427364912537,29.431820643338956,7212.694,1
8388608,100000,29.431631990492377,29.431820643338956,7213.193,1
