time_res,mem_res,num_th,exa_th,time,batch_size
128,100000,2356.0989030432797,1479.2899403846154,31.482,1
256,100000,2390.2452639569506,1479.2899403846154,31.579,1
512,100000,2390.2452639569506,1479.2899403846154,31.84,1
1024,100000,2398.9370649167936,1479.2899403846154,34.341,1
2048,100000,2403.3067134867697,1479.2899403846154,34.432,1
4096,100000,2403.3067134867697,1479.2899403846154,34.635,1
8192,100000,2403.3067134867697,1479.2899403846154,32.784,1
16384,100000,2403.3067134867697,1479.2899403846154,32.81,1
32768,100000,2403.580345128975,1479.2899403846154,32.706,1
65536,100000,2403.717184317425,1479.2899403846154,33.547,1
131072,100000,2403.785609754651,1479.2899403846154,33.592,1
262144,100000,2403.81982393416,1479.2899403846154,33.807,1
524288,100000,2403.8369313891567,1479.2899403846154,33.379,1
1048576,100000,2403.8454852079676,1479.2899403846154,33.292,1
2097152,100000,2403.8454852079676,1479.2899403846154,33.515,1
4194304,100000,2403.8454852079676,1479.2899403846154,25.977,1
8388608,100000,2403.8454852079676,1479.2899403846154,26.157,1
