time_mult,mem_div,n_through,e_through,time,batch_size
256,1000,64.0,None,0.955,1
260,1000,65.0,None,0.92,1
264,1000,66.0,None,0.936,1
268,1000,67.0,None,0.941,1
272,1000,68.0,None,0.954,1
276,1000,69.0,None,0.954,1
280,1000,70.0,None,0.944,1
284,1000,71.0,None,0.934,1
288,1000,72.0,None,0.947,1
292,1000,73.0,None,0.96,1
296,1000,74.0,None,0.97,1
300,1000,75.0,None,0.991,1
304,1000,76.0,None,1.019,1
308,1000,77.0,None,0.968,1
312,1000,78.0,None,0.973,1
316,1000,79.0,None,0.981,1
320,1000,80.0,None,1.016,1
324,1000,81.0,None,0.996,1
328,1000,82.0,None,0.969,1
332,1000,83.0,None,0.965,1
336,1000,84.0,None,1.015,1
340,1000,85.0,None,0.999,1
344,1000,86.0,None,0.987,1
348,1000,87.0,None,1.038,1
352,1000,88.0,None,1.015,1
356,1000,89.0,None,1.025,1
360,1000,90.0,None,1.113,1
364,1000,91.0,None,1.017,1
368,1000,92.0,None,1.007,1
372,1000,93.0,None,1.025,1
376,1000,94.0,None,1.104,1
380,1000,95.0,None,1.114,1
384,1000,96.0,None,1.12,1
388,1000,97.0,None,1.144,1
392,1000,98.0,None,1.094,1
396,1000,99.0,None,1.137,1
400,1000,100.0,None,1.087,1
404,1000,101.0,None,1.047,1
408,1000,102.0,None,1.073,1
412,1000,103.0,None,1.13,1
416,1000,104.0,None,1.159,1
420,1000,105.0,None,1.09,1
424,1000,106.0,None,1.227,1
428,1000,107.0,None,1.192,1
432,1000,108.0,None,1.335,1
436,1000,109.0,None,1.227,1
440,1000,110.0,None,1.221,1
444,1000,111.0,None,1.203,1
448,1000,112.0,None,1.242,1
452,1000,113.0,None,1.378,1
456,1000,114.0,None,1.323,1
460,1000,115.0,None,1.295,1
464,1000,116.0,None,1.334,1
468,1000,117.0,None,1.242,1
472,1000,118.0,None,1.339,1
476,1000,119.0,None,1.313,1
480,1000,120.0,None,1.299,1
484,1000,121.0,None,1.314,1
488,1000,122.0,None,1.369,1
492,1000,123.0,None,1.401,1
496,1000,124.0,None,1.351,1
500,1000,125.0,None,1.328,1
504,1000,126.0,None,1.31,1
508,1000,127.0,None,1.34,1
512,1000,128.0,None,1.284,1
520,1000,130.0,None,1.341,1
528,1000,132.0,None,1.32,1
536,1000,134.0,None,1.314,1
544,1000,136.0,None,1.325,1
552,1000,138.0,None,1.286,1
560,1000,140.0,None,1.434,1
568,1000,142.0,None,1.28,1
576,1000,144.0,None,1.343,1
584,1000,146.0,None,1.381,1
592,1000,148.0,None,1.361,1
600,1000,150.0,None,1.386,1
608,1000,152.0,None,1.423,1
616,1000,154.0,None,1.332,1
624,1000,156.0,None,1.324,1
632,1000,158.0,None,1.397,1
640,1000,160.0,None,1.332,1
648,1000,162.0,None,1.354,1
656,1000,164.0,None,1.317,1
664,1000,166.0,None,1.305,1
672,1000,168.0,None,1.453,1
680,1000,170.0,None,1.357,1
688,1000,172.0,None,1.412,1
696,1000,174.0,None,1.347,1
704,1000,176.0,None,1.322,1
712,1000,178.0,None,1.376,1
720,1000,180.0,None,1.324,1
728,1000,182.0,None,1.347,1
736,1000,184.0,None,1.307,1
744,1000,186.0,None,1.391,1
752,1000,188.0,None,1.376,1
760,1000,190.0,None,1.39,1
768,1000,192.0,None,1.388,1
776,1000,194.0,None,1.333,1
784,1000,196.0,None,1.374,1
792,1000,198.0,None,1.36,1
800,1000,200.0,None,1.26,1
808,1000,202.0,None,1.359,1
816,1000,204.0,None,1.381,1
824,1000,206.0,None,1.344,1
832,1000,208.0,None,1.327,1
840,1000,210.0,None,1.429,1
848,1000,212.0,None,1.293,1
856,1000,214.0,None,1.318,1
864,1000,216.0,None,1.32,1
872,1000,218.0,None,1.365,1
880,1000,220.0,None,1.389,1
888,1000,222.0,None,1.383,1
896,1000,224.0,None,1.312,1
904,1000,226.0,None,1.311,1
912,1000,228.0,None,1.343,1
920,1000,230.0,None,1.37,1
928,1000,232.0,None,1.342,1
936,1000,234.0,None,1.275,1
