time_mult,mem_div,n_through,e_through,time,batch_size
256,1000,64.0,None,0.972,1
256,1000,64.0,None,0.972,1
259,1000,64.75,None,0.985,1
261,1000,65.25,None,0.967,1
263,1000,65.75,None,0.987,1
272,1000,68.0,None,0.971,1
274,1000,68.5,None,0.96,1
275,1000,68.75,None,0.96,1
280,1000,70.0,None,0.994,1
281,1000,70.25,None,0.977,1
284,1000,71.0,None,0.96,1
289,1000,72.25,None,0.989,1
293,1000,73.25,None,0.961,1
296,1000,74.0,None,0.935,1
301,1000,75.25,None,0.967,1
302,1000,75.5,None,0.956,1
313,1000,78.25,None,0.958,1
314,1000,78.5,None,0.978,1
324,1000,81.0,None,0.967,1
325,1000,81.25,None,0.993,1
326,1000,81.5,None,0.969,1
328,1000,82.0,None,0.982,1
329,1000,82.25,None,0.998,1
336,1000,84.0,None,0.969,1
363,1000,90.75,None,0.981,1
368,1000,92.0,None,0.996,1
369,1000,92.25,None,0.983,1
377,1000,94.25,None,0.981,1
383,1000,95.75,None,0.979,1
385,1000,96.25,None,0.981,1
388,1000,97.0,None,0.943,1
389,1000,97.25,None,0.957,1
390,1000,97.5,None,0.99,1
392,1000,98.0,None,0.987,1
396,1000,99.0,None,0.981,1
399,1000,99.75,None,1.019,1
406,1000,101.5,None,0.99,1
417,1000,104.25,None,0.991,1
419,1000,104.75,None,0.984,1
422,1000,105.5,None,1.029,1
430,1000,107.5,None,0.99,1
433,1000,108.25,None,0.96,1
447,1000,111.75,None,0.956,1
448,1000,112.0,None,0.961,1
449,1000,112.25,None,0.982,1
452,1000,113.0,None,0.954,1
455,1000,113.75,None,1.047,1
456,1000,114.0,None,1.018,1
459,1000,114.75,None,0.991,1
461,1000,115.25,None,1.029,1
473,1000,118.25,None,0.955,1
474,1000,118.5,None,0.995,1
476,1000,119.0,None,0.978,1
478,1000,119.5,None,0.972,1
481,1000,120.25,None,0.997,1
482,1000,120.5,None,0.982,1
484,1000,121.0,None,0.986,1
492,1000,123.0,None,0.996,1
499,1000,124.75,None,1.006,1
502,1000,125.5,None,0.982,1
503,1000,125.75,None,0.992,1
505,1000,126.25,None,1.008,1
508,1000,127.0,None,0.952,1
511,1000,127.75,None,0.968,1
512,1000,128.0,None,0.981,1
517,1000,129.25,None,0.972,1
542,1000,135.5,None,0.995,1
544,1000,136.0,None,0.986,1
550,1000,137.5,None,0.979,1
557,1000,139.25,None,0.972,1
566,1000,141.5,None,0.986,1
568,1000,142.0,None,1.017,1
577,1000,144.25,None,0.998,1
582,1000,145.5,None,0.957,1
585,1000,146.25,None,0.961,1
588,1000,147.0,None,1.005,1
593,1000,148.25,None,1.005,1
600,1000,150.0,None,0.983,1
606,1000,151.5,None,1.018,1
625,1000,156.25,None,0.977,1
635,1000,158.75,None,0.968,1
636,1000,159.0,None,0.959,1
640,1000,160.0,None,0.971,1
648,1000,162.0,None,0.998,1
650,1000,162.5,None,0.974,1
675,1000,168.75,None,0.977,1
677,1000,169.25,None,0.966,1
692,1000,173.0,None,1.031,1
700,1000,175.0,None,1.075,1
702,1000,175.5,None,0.978,1
706,1000,176.5,None,0.972,1
713,1000,178.25,None,1.007,1
714,1000,178.5,None,0.967,1
716,1000,179.0,None,0.966,1
718,1000,179.5,None,0.951,1
734,1000,183.5,None,0.966,1
741,1000,185.25,None,1.029,1
743,1000,185.75,None,0.962,1
763,1000,190.75,None,0.96,1
767,1000,191.75,None,0.955,1
770,1000,192.5,None,1.033,1
777,1000,194.25,None,1.038,1
796,1000,199.0,None,0.985,1
804,1000,201.0,None,0.952,1
814,1000,203.5,None,0.982,1
828,1000,207.0,None,0.973,1
834,1000,208.5,None,0.98,1
843,1000,210.75,None,0.944,1
856,1000,214.0,None,1.002,1
876,1000,219.0,None,1.045,1
895,1000,223.75,None,1.001,1
896,1000,224.0,None,0.983,1
897,1000,224.25,None,0.987,1
923,1000,230.75,None,1.003,1
929,1000,232.25,None,0.986,1
930,1000,232.5,None,0.97,1
939,1000,234.75,None,0.954,1
954,1000,238.5,None,0.975,1
958,1000,239.5,None,0.972,1
977,1000,244.25,None,0.978,1
983,1000,245.75,None,1.025,1
986,1000,246.5,None,1.013,1
987,1000,246.75,None,0.996,1
991,1000,247.75,None,0.994,1
1002,1000,250.5,None,0.971,1
1003,1000,250.75,None,0.993,1
1016,1000,254.0,None,0.962,1
1023,1000,255.75,None,1.053,1
1024,1000,256.0,None,0.984,1
1028,1000,257.0,None,0.988,1
1030,1000,257.5,None,0.974,1
1040,1000,260.0,None,0.945,1
1070,1000,267.5,None,0.986,1
1088,1000,272.0,None,0.966,1
1150,1000,287.5,None,1.01,1
1174,1000,293.5,None,0.99,1
1180,1000,295.0,None,0.934,1
1209,1000,241.8,None,0.977,1
1214,1000,242.8,None,0.988,1
1224,1000,244.8,None,0.981,1
1243,1000,248.6,None,0.977,1
1262,1000,252.4,None,0.99,1
1264,1000,252.8,None,1.019,1
1265,1000,253.0,None,1.001,1
1291,1000,258.2,None,0.992,1
1299,1000,259.8,None,0.99,1
1316,1000,263.2,None,0.99,1
1325,1000,265.0,None,0.974,1
1341,1000,268.2,None,1.011,1
1347,1000,269.4,None,1.013,1
1378,1000,275.6,None,0.949,1
1383,1000,276.6,None,0.997,1
1409,1000,281.8,None,0.974,1
1433,1000,286.6,None,0.961,1
1460,1000,292.0,None,0.994,1
1470,1000,294.0,None,1.017,1
1478,1000,295.6,None,0.998,1
1488,1000,297.6,None,1.019,1
1491,1000,298.2,None,0.989,1
1519,1000,303.8,None,0.988,1
1521,1000,304.2,None,0.992,1
1522,1000,304.4,None,0.986,1
1525,1000,305.0,None,1.023,1
1535,1000,307.0,None,1.002,1
1543,1000,308.6,None,0.968,1
1559,1000,311.8,None,0.992,1
1575,1000,315.0,None,0.984,1
1594,1000,318.8,None,0.969,1
1613,1000,322.6,None,0.961,1
1646,1000,329.2,None,0.976,1
1656,1000,331.2,None,0.974,1
1669,1000,333.8,None,0.974,1
1695,1000,339.0,None,1.003,1
1722,1000,344.4,None,0.966,1
1778,1000,355.6,None,1.021,1
1813,1000,362.6,None,0.982,1
1825,1000,365.0,None,0.991,1
1840,1000,368.0,None,0.988,1
1865,1000,373.0,None,1.001,1
1867,1000,373.4,None,0.993,1
1874,1000,374.8,None,0.993,1
1889,1000,377.8,None,1.011,1
1900,1000,380.0,None,0.979,1
1915,1000,383.0,None,1.011,1
1926,1000,385.2,None,1.017,1
1945,1000,389.0,None,0.993,1
1950,1000,390.0,None,1.034,1
1986,1000,397.2,None,0.974,1
1992,1000,398.4,None,0.994,1
2019,1000,403.8,None,0.996,1
2025,1000,405.0,None,0.971,1
2034,1000,406.8,None,0.977,1
2048,1000,409.6,None,1.014,1
2048,1000,409.6,None,1.011,1
2115,1000,423.0,None,0.962,1
2119,1000,423.8,None,0.952,1
2153,1000,430.6,None,1.051,1
2227,1000,445.4,None,0.99,1
