time_mult,mem_div,n_through,e_through,time,batch_size
512,1000,170.66666666666666,None,1.9009999999999998,4
576,1000,192.0,None,1.9595,4
640,1000,213.33333333333334,None,1.9575,4
704,1000,234.66666666666666,None,1.9264999999999999,4
768,1000,256.0,None,1.9725000000000001,4
832,1000,277.3333333333333,None,2.0420000000000003,4
896,1000,298.6666666666667,None,2.0084999999999997,4
960,1000,320.0,None,1.9735,4
1024,1000,341.3333333333333,None,2.0020000000000002,4
1152,1000,384.0,None,1.9969999999999999,4
1280,1000,320.0,None,1.975,4
1408,1000,352.0,None,1.9689999999999999,4
1536,1000,384.0,None,2.0025,4
1664,1000,416.0,None,2.0365,4
1792,1000,448.0,None,1.9725000000000001,4
1920,1000,480.0,None,1.9529999999999998,4
2048,1000,512.0,None,1.9945,4
2304,1000,576.0,None,1.9729999999999999,4
2560,1000,640.0,None,2.0445,4
2816,1000,704.0,None,2.022,4
3072,1000,768.0,None,2.0305,4
3328,1000,665.6,None,2.0455,4
3584,1000,716.8,None,2.037,4
3840,1000,768.0,None,2.0359999999999996,4
4096,1000,819.2,None,2.056,4
4608,1000,921.6,None,2.064,4
5120,1000,731.4285714285714,None,2.0285,4
5632,1000,804.5714285714286,None,2.0585,4
6144,1000,877.7142857142857,None,2.1585,4
6656,1000,832.0,None,2.0445,4
7168,1000,896.0,None,2.036,4
7680,1000,960.0,None,2.0525,4
8192,1000,1024.0,None,2.0575,4
9216,1000,1152.0,None,2.0655,4
10240,1000,930.9090909090909,None,2.1085000000000003,4
11264,1000,1024.0,None,2.1399999999999997,4
12288,1000,1117.090909090909,None,2.138,4
13312,1000,1109.3333333333333,None,2.101,4
14336,1000,1194.6666666666667,None,2.17,4
15360,1000,1097.142857142857,None,2.1455,4
16384,1000,1092.2666666666667,None,2.153,4
18432,1000,1152.0,None,2.1315,4
20480,1000,1137.7777777777778,None,2.1375,4
22528,1000,1185.6842105263158,None,2.1109999999999998,4
24576,1000,1170.2857142857142,None,2.0549999999999997,4
26624,1000,1157.5652173913043,None,2.1305,4
28672,1000,1194.6666666666667,None,2.1310000000000002,4
30720,1000,1181.5384615384614,None,2.1475,4
32768,1000,1170.2857142857142,None,2.108,4
36864,1000,1189.1612903225807,None,2.1025,4
40960,1000,1170.2857142857142,None,2.1094999999999997,4
45056,1000,1185.6842105263158,None,2.1205,4
49152,1000,1198.8292682926829,None,2.1020000000000003,4
53248,1000,1183.2888888888888,None,2.1014999999999997,4
57344,1000,1194.6666666666667,None,2.0755,4
61440,1000,1181.5384615384614,None,2.0975,4
65536,1000,1191.5636363636363,None,2.1155,4
73728,1000,1189.1612903225807,None,2.1310000000000002,4
81920,1000,1187.2463768115942,None,2.048,4
90112,1000,1201.4933333333333,None,2.2265,4
98304,1000,1198.8292682926829,None,2.0665,4
106496,1000,1196.5842696629213,None,2.0865,4
114688,1000,1194.6666666666667,None,2.1265,4
122880,1000,1193.009708737864,None,2.1085000000000003,4
131072,1000,1191.5636363636363,None,2.1025,4
147456,1000,1198.8292682926829,None,2.1155,4
163840,1000,1195.912408759124,None,2.1075,4
180224,1000,1201.4933333333333,None,2.0965,4
196608,1000,1198.8292682926829,None,2.085,4
212992,1000,1196.5842696629213,None,2.1085000000000003,4
229376,1000,1200.9214659685863,None,2.105,4
245760,1000,1198.8292682926829,None,2.0945,4
262144,1000,1197.0045662100456,None,2.0745,4
294912,1000,1198.8292682926829,None,2.091,4
327680,1000,1200.2930402930403,None,2.1085000000000003,4
360448,1000,1201.4933333333333,None,2.1055,4
393216,1000,1198.8292682926829,None,2.1325000000000003,4
425984,1000,1199.9549295774648,None,2.0925000000000002,4
458752,1000,1200.9214659685863,None,2.153,4
491520,1000,1201.760391198044,None,2.2664999999999997,4
524288,1000,1199.7437070938215,None,2.1585,4
589824,1000,1201.2708757637474,None,2.184,4
655360,1000,1200.2930402930403,None,2.395,4
720896,1000,1201.4933333333333,None,2.572,4
786432,1000,1200.6595419847329,None,2.2615,4
851968,1000,1201.6473906911142,None,2.104,4
917504,1000,1200.9214659685863,None,2.1795,4
983040,1000,1201.760391198044,None,2.115,4
1048576,1000,1201.1179839633448,None,2.1550000000000002,4
8388608,1000,1201.8063037249283,None,2.0825,4
