time_mult,mem_div,n_through,e_through,time
128,100,128.0,None,2.453
128,10000,128.0,None,2.702
256,100,256.0,None,2.515
256,10000,256.0,None,2.5
512,100,512.0,None,2.503
512,10000,512.0,None,2.475
1024,100,1024.0,None,2.657
1024,10000,1024.0,None,2.552
2048,100,1024.0,None,2.569
2048,10000,1024.0,None,2.583
4096,100,1024.0,None,2.67
4096,10000,1024.0,None,2.817
8192,100,1170.2857142857142,None,2.85
8192,10000,1170.2857142857142,None,2.782
16384,100,1170.2857142857142,None,2.851
16384,10000,1170.2857142857142,None,2.87
32768,100,1170.2857142857142,None,2.767
32768,10000,1170.2857142857142,None,2.729
65536,100,1191.5636363636363,None,2.74
65536,10000,1191.5636363636363,None,2.826
131072,100,1191.5636363636363,None,2.775
131072,10000,1191.5636363636363,None,3.051
262144,100,1197.0045662100456,None,2.768
262144,10000,1197.0045662100456,None,2.884
524288,100,1199.7437070938215,None,2.919
524288,10000,1199.7437070938215,None,2.78
1048576,100,1201.1179839633448,None,2.783
1048576,10000,1201.1179839633448,None,2.869
2097152,100,1201.8063037249283,None,2.8
2097152,10000,1201.8063037249283,None,2.814
4194304,100,1201.8063037249283,None,2.839
4194304,10000,1201.8063037249283,None,2.716
8388608,100,1201.8063037249283,None,2.745
8388608,10000,1201.8063037249283,None,2.758
