time_res,mem_res,num_th,exa_th,time,batch_size
8,100000,1288.4910250111704,2403.846153125,36.411,1
10,100000,1610.6137812639631,2403.846153125,36.283,1
12,100000,1932.7365375167558,2403.846153125,36.477,1
14,100000,2254.859293769548,2403.846153125,40.34,1
16,100000,1717.9880333482272,2403.846153125,40.387,1
20,100000,2147.485041685284,2403.846153125,40.398,1
24,100000,1932.7365375167558,2403.846153125,38.712,1
28,100000,2254.859293769548,2403.846153125,38.838,1
32,100000,2061.5856400178727,2403.846153125,42.346,1
40,100000,2147.485041685284,2403.846153125,45.061,1
48,100000,2208.8417571620066,2403.846153125,41.103,1
56,100000,2254.859293769548,2403.846153125,41.684,1
64,100000,2290.6507111309697,2403.846153125,43.587,1
80,100000,2342.7109545657645,2403.846153125,40.3,1
96,100000,2378.752661559084,2403.846153125,40.03,1
112,100000,2254.859293769548,2403.846153125,39.29,1
128,100000,2290.6507111309697,2403.846153125,39.109,1
160,100000,2342.7109545657645,2403.846153125,39.601,1
192,100000,2378.752661559084,2403.846153125,39.194,1
224,100000,2327.5966903427593,2403.846153125,39.136,1
256,100000,2356.0978743061405,2403.846153125,39.081,1
320,100000,2397.192604671945,2403.846153125,36.222,1
384,100000,2378.752661559084,2403.846153125,36.268,1
448,100000,2365.7540131352634,2403.846153125,36.475,1
512,100000,2390.244220310577,2403.846153125,35.875,1
576,100000,2378.7526615590837,2403.846153125,36.07,1
640,100000,2397.192604671945,2403.846153125,35.886,1
704,100000,2387.0991621259577,2403.846153125,36.052,1
768,100000,2401.8473475936385,2403.846153125,36.176,1
832,100000,2392.9119035921735,2403.846153125,36.426,1
896,100000,2385.3056991942326,2403.846153125,36.142,1
960,100000,2397.1926046719445,2403.846153125,36.328,1
1024,100000,2390.244220310577,2403.846153125,36.471,1
1152,100000,2394.099452923981,2403.846153125,36.861,1
1280,100000,2397.192604671945,2403.846153125,36.629,1
1408,100000,2399.7293164229204,2403.846153125,36.729,1
1536,100000,2401.8473475936385,2403.846153125,36.212,1
1664,100000,2403.6424502450536,2403.846153125,36.357,1
1792,100000,2395.2032332157855,2403.846153125,36.32,1
1920,100000,2397.1926046719445,2403.846153125,36.342,1
2048,100000,2398.936017475343,2403.846153125,36.379,1
2304,100000,2401.847347593638,2403.846153125,36.605,1
2560,100000,2397.192604671945,2403.846153125,36.862,1
2816,100000,2399.7293164229204,2403.846153125,36.811,1
3072,100000,2401.8473475936385,2403.846153125,37.106,1
3328,100000,2403.6424502450536,2403.846153125,36.064,1
3584,100000,2400.1828657172737,2403.846153125,35.966,1
3840,100000,2401.847347593638,2403.846153125,36.275,1
4096,100000,2403.305664137411,2403.846153125,36.371,1
4608,100000,2401.847347593638,2403.846153125,36.499,1
5120,100000,2400.681967997523,2403.846153125,36.67,1
5632,100000,2402.9077658486462,2403.846153125,36.802,1
6144,100000,2401.8473475936385,2403.846153125,36.985,1
6656,100000,2403.6424502450536,2403.846153125,37.076,1
7168,100000,2402.6804545473647,2403.846153125,36.115,1
7680,100000,2401.847347593638,2403.846153125,36.275,1
8192,100000,2403.305664137411,2403.846153125,36.233,1
9216,100000,2403.792163259706,2403.846153125,36.432,1
10240,100000,2402.4304617833914,2403.846153125,36.608,1
11264,100000,2402.9077658486462,2403.846153125,36.713,1
12288,100000,2403.305664137411,2403.846153125,37.011,1
13312,100000,2403.6424502450536,2403.846153125,37.278,1
14336,100000,2402.6804545473647,2403.846153125,37.044,1
15360,100000,2403.0138591757623,2403.846153125,36.041,1
16384,100000,2403.305664137411,2403.846153125,36.144,1
18432,100000,2403.792163259706,2403.846153125,36.213,1
20480,100000,2403.305664137411,2403.846153125,36.522,1
