time_mult,mem_div,n_through,e_through,time,batch_size
128,100,128.0,None,1.161,1
128,10000,128.0,None,1.149,1
256,100,256.0,None,1.169,1
256,10000,256.0,None,1.202,1
512,100,512.0,None,1.172,1
512,10000,512.0,None,1.145,1
1024,100,1024.0,None,1.172,1
1024,10000,1024.0,None,1.165,1
2048,100,1024.0,None,1.159,1
2048,10000,1024.0,None,1.127,1
4096,100,1024.0,None,1.185,1
4096,10000,1024.0,None,1.149,1
8192,100,1170.2857142857142,None,1.204,1
8192,10000,1170.2857142857142,None,1.167,1
16384,100,1170.2857142857142,None,1.22,1
16384,10000,1170.2857142857142,None,1.211,1
32768,100,1170.2857142857142,None,1.188,1
32768,10000,1170.2857142857142,None,1.163,1
65536,100,1191.5636363636363,None,1.22,1
65536,10000,1191.5636363636363,None,1.215,1
131072,100,1191.5636363636363,None,1.179,1
131072,10000,1191.5636363636363,None,1.175,1
262144,100,1197.0045662100456,None,1.202,1
262144,10000,1197.0045662100456,None,1.202,1
524288,100,1199.7437070938215,None,1.223,1
524288,10000,1199.7437070938215,None,1.2,1
1048576,100,1201.1179839633448,None,1.218,1
1048576,10000,1201.1179839633448,None,1.195,1
2097152,100,1201.8063037249283,None,1.184,1
2097152,10000,1201.8063037249283,None,1.216,1
4194304,100,1201.8063037249283,None,1.211,1
4194304,10000,1201.8063037249283,None,1.208,1
8388608,100,1201.8063037249283,None,1.188,1
8388608,10000,1201.8063037249283,None,1.162,1
