time_mult,mem_div,n_through,e_through,time,batch_size
128,10000,21.333333333333332,None,1.952,10
128,1000000,21.333333333333332,None,2.334,10
256,10000,42.666666666666664,None,2.774,10
256,1000000,42.666666666666664,None,2.2695,10
512,10000,85.33333333333333,None,2.42,10
512,1000000,85.33333333333333,None,2.3235,10
1024,10000,170.66666666666666,None,2.3369999999999997,10
1024,1000000,170.66666666666666,None,2.2755,10
2048,10000,341.3333333333333,None,2.564,10
2048,1000000,341.3333333333333,None,2.363,10
4096,10000,512.0,None,2.511,10
4096,1000000,512.0,None,2.508,10
8192,10000,630.1538461538462,None,2.233,10
8192,1000000,630.1538461538462,None,2.1595,10
16384,10000,744.7272727272727,None,2.4645,10
16384,1000000,744.7272727272727,None,2.5415,10
32768,10000,780.1904761904761,None,2.3485,10
32768,1000000,780.1904761904761,None,2.6345,10
65536,10000,873.8133333333334,None,2.386,10
65536,1000000,873.8133333333334,None,2.9085,10
131072,10000,903.9448275862069,None,2.4055,10
131072,1000000,903.9448275862069,None,2.923,10
262144,10000,926.303886925795,None,2.54,10
262144,1000000,926.303886925795,None,3.0244999999999997,10
524288,10000,941.2710951526033,None,2.609,10
524288,1000000,941.2710951526033,None,2.8635,10
1048576,10000,948.0795660036166,None,2.6100000000000003,10
1048576,1000000,948.0795660036166,None,2.594,10
2097152,10000,951.9527916477531,None,2.5759999999999996,10
2097152,1000000,951.9527916477531,None,2.637,10
4194304,10000,953.9012963384125,None,2.6795,10
4194304,1000000,953.9012963384125,None,2.614,10
8388608,10000,954.6612040514397,None,2.6125,10
8388608,1000000,954.6612040514397,None,2.9855,10
