time_res,mem_res,num_th,exa_th,time,batch_size
8,100000,318.71977016580297,1622.849723628692,49.969,3
16,100000,637.4395403316059,1622.849723628692,50.835,3
32,100000,956.1593104974088,1292.8248218487395,51.292,3
64,100000,1274.8790806632119,1622.849723628692,53.47,3
128,100000,1529.854896795854,1709.4017088888888,57.868,3
256,100000,1610.3735755745831,1709.4017088888888,98.272,3
512,100000,1748.405596338119,1797.268151869159,110.898,3
1024,100000,1773.7448078792513,1797.268151869159,111.228,3
2048,100000,1786.6918502725302,1797.268151869159,110.642,3
4096,100000,1793.2365090647374,1797.268151869159,112.887,3
8192,100000,1793.2365090647374,1797.268151869159,130.196,3
16384,100000,1796.526851283205,1797.268151869159,131.746,3
32768,100000,1796.526851283205,1797.268151869159,131.18,3
65536,100000,1796.9389932541346,1797.268151869159,131.177,3
131072,100000,1797.14513515998,1797.268151869159,131.002,3
262144,100000,1797.248223850117,1797.268151869159,133.572,3
524288,100000,1797.248223850117,1797.268151869159,134.428,3
1048576,100000,1797.248223850117,1797.268151869159,134.284,3
2097152,100000,1797.2611107679654,1797.268151869159,133.521,3
4194304,100000,1797.2675542961924,1797.268151869159,134.073,3
8388608,100000,1797.2675542961924,1797.268151869159,43.676,3
