time_res,mem_res,num_th,exa_th,time,batch_size
2,100000,79.67994254145074,1622.849723628692,45.949,3
3,100000,119.5199138121761,1622.849723628692,45.693,3
4,100000,159.35988508290149,1622.849723628692,45.656,3
5,100000,199.19985635362684,1622.849723628692,45.993,3
6,100000,239.0398276243522,1622.849723628692,45.69,3
7,100000,278.8797988950776,1622.849723628692,45.777,3
8,100000,318.71977016580297,1622.849723628692,46.312,3
9,100000,358.55974143652827,1622.849723628692,46.386,3
10,100000,398.3997127072537,1622.849723628692,46.468,3
11,100000,438.23968397797904,1622.849723628692,46.308,3
12,100000,478.0796552487044,1622.849723628692,45.836,3
13,100000,517.9196265194298,1622.849723628692,45.986,3
14,100000,557.7595977901552,1622.849723628692,46.204,3
15,100000,597.5995690608805,1622.849723628692,46.19,3
16,100000,637.4395403316059,1622.849723628692,46.064,3
18,100000,717.1194828730565,1622.849723628692,43.554,3
20,100000,796.7994254145074,1622.849723628692,44.163,3
22,100000,876.4793679559581,1629.7262055084745,44.381,3
24,100000,956.1593104974088,1629.7262055084745,43.977,3
26,100000,1035.8392530388596,1629.7262055084745,43.889,3
28,100000,836.6393966852328,1292.8248218487395,47.621,3
30,100000,896.3993535913207,1292.8248218487395,47.918,3
32,100000,956.1593104974088,1292.8248218487395,48.021,3
36,100000,1075.679224309585,1622.849723628692,47.841,3
40,100000,1195.199138121761,1622.849723628692,52.162,3
44,100000,1314.7190519339372,1709.4017088888888,52.25,3
48,100000,1147.3911725968908,1622.849723628692,56.044,3
52,100000,1243.0071036466315,1622.849723628692,52.715,3
56,100000,1338.6230346963725,1668.613381778742,56.254,3
60,100000,1195.199138121761,1622.849723628692,55.819,3
64,100000,1274.8790806632119,1622.849723628692,52.937,3
72,100000,1434.238965746113,1622.849723628692,53.494,3
80,100000,1593.5988508290147,1797.268151869159,62.604,3
88,100000,1502.536059353071,1709.4017088888888,60.14,3
96,100000,1434.2389657461133,1629.7262055084745,57.144,3
104,100000,1381.1190040518127,1629.7262055084745,60.518,3
112,100000,1487.358927440414,1629.7262055084745,64.044,3
120,100000,1434.238965746113,1622.849723628692,60.962,3
128,100000,1529.854896795854,1709.4017088888888,64.127,3
144,100000,1564.6243262684873,1709.4017088888888,64.152,3
160,100000,1593.5988508290147,1622.849723628692,67.071,3
176,100000,1502.536059353071,1629.7262055084745,62.531,3
192,100000,1639.1302465669867,1709.4017088888888,75.34,3
208,100000,1657.3428048621754,1797.268151869159,75.049,3
224,100000,1673.2787933704656,1797.268151869159,75.136,3
240,100000,1687.3399597013095,1797.268151869159,74.963,3
256,100000,1610.3735755745831,1709.4017088888888,86.194,3
260,100000,1635.535662692936,1709.4017088888888,86.544,3
264,100000,1660.697749811289,1744.2874580498865,86.653,3
268,100000,1601.56684508316,1797.268151869159,86.236,3
272,100000,1625.4708278455953,1797.268151869159,89.448,3
276,100000,1649.3748106080302,1797.268151869159,89.465,3
280,100000,1673.2787933704656,1797.268151869159,90.383,3
284,100000,1697.1827761329007,1797.268151869159,93.475,3
288,100000,1721.0867588953358,1797.268151869159,93.427,3
292,100000,1661.8959444359725,1797.268151869159,103.694,3
296,100000,1684.6616423049586,1797.268151869159,103.924,3
300,100000,1707.4273401739445,1797.268151869159,98.602,3
304,100000,1651.54789995007,1797.268151869159,104.064,3
308,100000,1673.2787933704656,1797.268151869159,103.754,3
312,100000,1695.0096867908612,1797.268151869159,99.715,3
316,100000,1716.7405802112567,1797.268151869159,96.931,3
320,100000,1738.4714736316525,1797.268151869159,91.651,3
324,100000,1683.6718293541328,1797.268151869159,97.221,3
328,100000,1704.457901321468,1797.268151869159,96.839,3
332,100000,1725.2439732888026,1797.268151869159,91.461,3
336,100000,1673.2787933704656,1797.268151869159,105.082,3
340,100000,1625.4708278455948,1797.268151869159,98.161,3
344,100000,1644.594014055543,1797.268151869159,102.366,3
348,100000,1663.7172002654913,1797.268151869159,102.119,3
352,100000,1682.8403864754396,1797.268151869159,100.699,3
356,100000,1701.9635726853878,1797.268151869159,100.77,3
360,100000,1721.0867588953358,1797.268151869159,92.519,3
364,100000,1673.2787933704656,1709.4017088888888,97.303,3
368,100000,1691.6664724184927,1797.268151869159,97.949,3
372,100000,1710.0541514665197,1797.268151869159,97.938,3
376,100000,1728.4418305145466,1797.268151869159,98.719,3
380,100000,1746.8295095625738,1797.268151869159,104.611,3
384,100000,1699.8387742176158,1797.268151869159,98.653,3
388,100000,1717.5454281157156,1797.268151869159,101.487,3
392,100000,1735.2520820138159,1797.268151869159,105.594,3
396,100000,1752.9587359119162,1797.268151869159,106.158,3
400,100000,1770.6653898100162,1797.268151869159,106.066,3
404,100000,1724.501613575684,1797.268151869159,106.397,3
408,100000,1741.5758869774231,1797.268151869159,106.136,3
412,100000,1758.6501603791628,1797.268151869159,102.337,3
416,100000,1714.4925567539742,1720.8742035794182,98.456,3
420,100000,1673.2787933704656,1797.268151869159,92.99,3
424,100000,1689.2147818787557,1797.268151869159,102.094,3
428,100000,1705.1507703870454,1797.268151869159,102.312,3
432,100000,1721.0867588953356,1797.268151869159,97.649,3
436,100000,1680.989755551896,1797.268151869159,105.172,3
440,100000,1696.4116799147578,1797.268151869159,93.261,3
444,100000,1711.8336042776189,1797.268151869159,102.798,3
448,100000,1727.2555286404806,1797.268151869159,102.512,3
452,100000,1742.677453003342,1797.268151869159,103.823,3
456,100000,1758.0993773662033,1797.268151869159,103.947,3
460,100000,1773.5213017290646,1797.268151869159,99.719,3
464,100000,1733.0387502765534,1797.268151869159,103.627,3
468,100000,1747.9787395030753,1797.268151869159,99.354,3
472,100000,1762.9187287295977,1797.268151869159,97.471,3
476,100000,1777.8587179561196,1797.268151869159,97.601,3
480,100000,1738.4714736316523,1797.268151869159,92.879,3
484,100000,1701.4011260321538,1797.268151869159,100.834,3
488,100000,1715.462292362998,1797.268151869159,100.851,3
492,100000,1729.5234586938423,1797.268151869159,101.893,3
496,100000,1743.5846250246864,1797.268151869159,91.787,3
500,100000,1757.645791355531,1797.268151869159,98.069,3
504,100000,1721.0867588953356,1797.268151869159,101.873,3
508,100000,1734.7461776167274,1797.268151869159,101.803,3
512,100000,1748.405596338119,1797.268151869159,106.761,3
520,100000,1775.724433780902,1797.268151869159,107.649,3
528,100000,1752.9587359119162,1797.268151869159,113.41,3
536,100000,1731.423616306119,1797.268151869159,110.72,3
544,100000,1711.0219240479948,1797.268151869159,107.192,3
552,100000,1736.1840111663475,1797.268151869159,98.648,3
560,100000,1761.3460982847002,1797.268151869159,99.881,3
568,100000,1740.7002832132314,1797.268151869159,103.163,3
576,100000,1765.2171886106007,1797.268151869159,99.942,3
584,100000,1744.9907416577712,1797.268151869159,105.598,3
592,100000,1725.75095065386,1797.268151869159,110.11,3
600,100000,1749.0719094464798,1797.268151869159,100.917,3
608,100000,1730.1930380429303,1797.268151869159,101.022,3
616,100000,1752.9587359119162,1797.268151869159,100.793,3
624,100000,1734.42851671623,1797.268151869159,107.724,3
632,100000,1756.6647797510536,1797.268151869159,103.633,3
640,100000,1778.9010427858768,1797.268151869159,103.525,3
648,100000,1760.202367052048,1797.268151869159,99.08,3
656,100000,1742.3347435730561,1797.268151869159,99.463,3
664,100000,1725.2439732888026,1797.268151869159,103.549,3
672,100000,1746.030045256138,1797.268151869159,112.277,3
680,100000,1766.8161172234727,1797.268151869159,107.161,3
688,100000,1749.5681000590885,1797.268151869159,113.538,3
696,100000,1769.911915176055,1797.268151869159,113.007,3
704,100000,1752.9587359119162,1797.268151869159,112.988,3
712,100000,1772.878721547279,1797.268151869159,106.928,3
720,100000,1756.2109784646284,1797.268151869159,99.682,3
728,100000,1740.2099451052843,1797.268151869159,99.92,3
736,100000,1759.3331313152323,1797.268151869159,104.284,3
744,100000,1778.4563175251806,1797.268151869159,104.021,3
752,100000,1762.3328467991457,1797.268151869159,110.385,3
760,100000,1781.0810685736044,1797.268151869159,110.741,3
768,100000,1765.2171886106012,1797.268151869159,113.036,3
776,100000,1749.951945627333,1797.268151869159,101.765,3
784,100000,1767.9926873348313,1797.268151869159,101.613,3
792,100000,1752.9587359119162,1797.268151869159,111.054,3
800,100000,1770.6653898100162,1797.268151869159,101.655,3
808,100000,1755.856188367969,1797.268151869159,107.437,3
816,100000,1773.2409031042853,1797.268151869159,107.471,3
824,100000,1790.625617840602,1797.268151869159,110.658,3
832,100000,1775.724433780902,1797.268151869159,111.639,3
840,100000,1761.3460982847002,1797.268151869159,101.771,3
848,100000,1747.4635674607816,1797.268151869159,112.393,3
856,100000,1763.949072814185,1797.268151869159,112.204,3
864,100000,1780.4345781675886,1797.268151869159,108.056,3
872,100000,1766.4638109189414,1797.268151869159,100.434,3
880,100000,1782.6699009273725,1797.268151869159,107.028,3
888,100000,1768.8947244202063,1797.268151869159,110.494,3
896,100000,1755.571193044423,1797.268151869159,106.726,3
