time_res,mem_res,num_th,exa_th,time,batch_size
8,100000,318.71977016580297,1622.849723628692,52.567,3
10,100000,398.3997127072537,1622.849723628692,52.417,3
12,100000,478.0796552487044,1622.849723628692,52.643,3
14,100000,557.7595977901552,1622.849723628692,52.67,3
16,100000,637.4395403316059,1622.849723628692,52.51,3
20,100000,796.7994254145074,1622.849723628692,52.135,3
24,100000,956.1593104974088,1629.7262055084745,52.588,3
28,100000,836.6393966852328,1292.8248218487395,52.696,3
32,100000,956.1593104974088,1292.8248218487395,52.549,3
40,100000,1195.199138121761,1622.849723628692,57.18,3
48,100000,1147.3911725968908,1622.849723628692,63.189,3
56,100000,1338.6230346963725,1668.613381778742,62.684,3
64,100000,1274.8790806632119,1622.849723628692,59.124,3
80,100000,1593.5988508290147,1797.268151869159,67.825,3
96,100000,1434.2389657461133,1629.7262055084745,62.801,3
112,100000,1487.358927440414,1629.7262055084745,72.523,3
128,100000,1529.854896795854,1709.4017088888888,73.159,3
160,100000,1593.5988508290147,1622.849723628692,73.085,3
192,100000,1639.1302465669867,1709.4017088888888,80.253,3
224,100000,1673.2787933704656,1797.268151869159,79.923,3
256,100000,1610.3735755745831,1709.4017088888888,96.539,3
320,100000,1738.4714736316525,1797.268151869159,97.313,3
384,100000,1699.8387742176158,1797.268151869159,102.428,3
448,100000,1727.2555286404806,1797.268151869159,105.833,3
512,100000,1748.405596338119,1797.268151869159,105.515,3
576,100000,1765.2171886106007,1797.268151869159,110.544,3
640,100000,1778.9010427858768,1797.268151869159,117.105,3
704,100000,1752.9587359119162,1797.268151869159,121.713,3
768,100000,1765.2171886106012,1797.268151869159,124.463,3
832,100000,1775.724433780902,1797.268151869159,121.688,3
896,100000,1755.571193044423,1797.268151869159,116.867,3
960,100000,1765.2171886106007,1797.268151869159,116.757,3
1024,100000,1773.7448078792513,1797.268151869159,116.786,3
1152,100000,1765.2171886106007,1797.268151869159,116.821,3
1280,100000,1778.9010427858768,1797.268151869159,119.037,3
1408,100000,1771.4109331320417,1797.268151869159,125.818,3
1536,100000,1782.3552195679854,1797.268151869159,126.357,3
1664,100000,1791.7219512023516,1797.268151869159,126.465,3
1792,100000,1770.0800458795006,1797.268151869159,126.496,3
1920,100000,1778.9010427858768,1797.268151869159,125.857,3
2048,100000,1786.6918502725302,1797.268151869159,118.548,3
2304,100000,1788.1420871639855,1797.268151869159,130.958,3
2560,100000,1789.3039728606482,1797.268151869159,131.173,3
2816,100000,1780.7834777517878,1797.268151869159,130.87,3
3072,100000,1791.0496352731952,1797.268151869159,125.67,3
3328,100000,1791.7219512023516,1797.268151869159,131.252,3
3584,100000,1784.8307129284967,1797.268151869159,126.79,3
3840,100000,1792.7987071826415,1797.268151869159,127.695,3
4096,100000,1793.2365090647374,1797.268151869159,128.266,3
4608,100000,1788.1420871639855,1797.268151869159,130.979,3
5120,100000,1794.551198587512,1797.268151869159,137.798,3
5632,100000,1790.255730293021,1797.268151869159,139.051,3
6144,100000,1791.0496352731952,1797.268151869159,138.549,3
6656,100000,1795.7664702795578,1797.268151869159,138.499,3
7168,100000,1792.2986238612516,1797.268151869159,137.817,3
7680,100000,1796.3071195254647,1797.268151869159,135.38,3
8192,100000,1793.2365090647374,1797.268151869159,134.777,3
9216,100000,1793.9666542231514,1797.268151869159,135.589,3
10240,100000,1794.551198587512,1797.268151869159,135.473,3
11264,100000,1792.6395594944763,1797.268151869159,135.144,3
12288,100000,1795.4287297359658,1797.268151869159,134.708,3
13312,100000,1795.7664702795578,1797.268151869159,135.359,3
14336,100000,1796.0560633242733,1797.268151869159,135.61,3
15360,100000,1796.3071195254647,1797.268151869159,135.588,3
16384,100000,1796.526851283205,1797.268151869159,135.253,3
18432,100000,1795.4287297359658,1797.268151869159,138.344,3
20480,100000,1795.867817221839,1797.268151869159,138.86,3
22528,100000,1795.0297455738023,1797.268151869159,138.754,3
24576,100000,1796.526851283205,1797.268151869159,138.936,3
26624,100000,1796.7804547348258,1797.268151869159,138.261,3
28672,100000,1796.0560633242733,1797.268151869159,141.034,3
30720,100000,1796.3071195254647,1797.268151869159,142.159,3
32768,100000,1796.526851283205,1797.268151869159,142.002,3
36864,100000,1796.893190363809,1797.268151869159,141.919,3
40960,100000,1796.526851283205,1797.268151869159,141.505,3
45056,100000,1796.227230394065,1797.268151869159,140.438,3
49152,100000,1797.0764159363964,1797.268151869159,141.436,3
53248,100000,1796.7804547348258,1797.268151869159,141.553,3
57344,100000,1796.526851283205,1797.268151869159,141.321,3
61440,100000,1797.1863692168622,1797.268151869159,140.695,3
65536,100000,1796.9389932541346,1797.268151869159,141.192,3
73728,100000,1796.893190363809,1797.268151869159,140.69,3
81920,100000,1796.856549732697,1797.268151869159,141.191,3
90112,100000,1796.8265721459484,1797.268151869159,140.972,3
98304,100000,1797.0764159363964,1797.268151869159,140.47,3
106496,100000,1796.7804547348258,1797.268151869159,141.83,3
114688,100000,1796.9978861157385,1797.268151869159,141.461,3
122880,100000,1797.1863692168622,1797.268151869159,141.267,3
131072,100000,1797.14513515998,1797.268151869159,140.88,3
147456,100000,1797.0764159363964,1797.268151869159,141.387,3
163840,100000,1797.0214443412804,1797.268151869159,140.217,3
180224,100000,1797.12639303234,1797.268151869159,141.065,3
196608,100000,1797.0764159363964,1797.268151869159,140.779,3
212992,100000,1797.0341297954972,1797.268151869159,140.437,3
229376,100000,1797.1156834206297,1797.268151869159,140.519,3
245760,100000,1797.1863692168622,1797.268151869159,138.848,3
262144,100000,1797.248223850117,1797.268151869159,139.218,3
294912,100000,1797.168042735761,1797.268151869159,139.532,3
327680,100000,1797.1863692168627,1797.268151869159,139.378,3
360448,100000,1797.2013638885007,1797.268151869159,139.325,3
393216,100000,1797.213859639336,1797.268151869159,141.015,3
425984,100000,1797.1609941887054,1797.268151869159,141.043,3
458752,100000,1797.1745878646766,1797.268151869159,141.648,3
491520,100000,1797.2413509028295,1797.268151869159,141.764,3
524288,100000,1797.248223850117,1797.268151869159,141.48,3
589824,100000,1797.213859639336,1797.268151869159,135.642,3
655360,100000,1797.227605165953,1797.268151869159,136.008,3
720896,100000,1797.2013638885007,1797.268151869159,136.242,3
786432,100000,1797.248223850117,1797.268151869159,136.281,3
851968,100000,1797.2244331026873,1797.268151869159,136.114,3
917504,100000,1797.2334961702968,1797.268151869159,108.052,3
983040,100000,1797.2413509028295,1797.268151869159,108.23,3
1048576,100000,1797.248223850117,1797.268151869159,108.461,3
8388608,100000,1797.2675542961924,1797.268151869159,108.557,3
