time_res,mem_res,num_th,exa_th,time,batch_size
2,100000,1.4373736798563712,25.306973582050272,78.925,1
4,100000,2.8747473597127424,25.306973582050272,76.817,1
8,100000,5.749494719425485,25.306973582050272,79.163,1
16,100000,24.84349570122123,26.604093829978552,115.409,1
32,100000,17.887316904879285,24.116841265362424,102.183,1
64,100000,21.464780285855145,25.108720753362054,209.863,1
128,100000,23.416123948205612,26.185687942538124,263.785,1
256,100000,25.50270925052096,26.185687942538124,78.064,1
512,100000,26.149986135051947,26.604093829978552,77.719,1
1024,100000,26.901030123264928,27.300921670925604,71.629,1
2048,100000,17.642285166456283,20.644948174986574,7213.408,1
4096,100000,17.672546376004235,20.644948174986574,7213.113,1
8192,100000,17.721942872002526,20.644948174986574,7214.978,1
16384,100000,17.735289144203062,20.644948174986574,7217.808,1
32768,100000,17.748655533523632,20.644948174986574,7215.232,1
