time_mult,mem_div,n_through,e_through,time,batch_size
128,1000000,9.142857142857142,None,67.492,3
132,1000000,9.428571428571429,None,66.319,3
136,1000000,9.714285714285714,None,45.972,3
140,1000000,10.0,None,67.598,3
144,1000000,10.285714285714286,None,44.913,3
148,1000000,10.571428571428571,None,66.418,3
152,1000000,10.857142857142858,None,45.541,3
156,1000000,11.142857142857142,None,70.032,3
160,1000000,11.428571428571429,None,47.194,3
164,1000000,11.714285714285714,None,67.87,3
168,1000000,12.0,None,57.337,3
172,1000000,12.285714285714286,None,51.738,3
176,1000000,12.571428571428571,None,45.588,3
180,1000000,12.857142857142858,None,55.518,3
184,1000000,13.142857142857142,None,59.684,3
188,1000000,13.428571428571429,None,45.148,3
192,1000000,13.714285714285714,None,45.28,3
196,1000000,14.0,None,47.187,3
200,1000000,14.285714285714286,None,47.638,3
204,1000000,14.571428571428571,None,44.34,3
208,1000000,14.857142857142858,None,47.478,3
212,1000000,15.142857142857142,None,50.102,3
216,1000000,15.428571428571429,None,46.446,3
220,1000000,15.714285714285714,None,52.247,3
224,1000000,16.0,None,46.389,3
228,1000000,16.285714285714285,None,44.508,3
232,1000000,16.571428571428573,None,45.349,3
236,1000000,16.857142857142858,None,50.185,3
240,1000000,17.142857142857142,None,46.821,3
244,1000000,17.428571428571427,None,45.349,3
248,1000000,17.714285714285715,None,55.573,3
252,1000000,18.0,None,45.22,3
256,1000000,18.285714285714285,None,50.782,3
264,1000000,18.857142857142858,None,42.42,3
272,1000000,19.428571428571427,None,54.162,3
280,1000000,20.0,None,45.451,3
288,1000000,20.571428571428573,None,48.536,3
296,1000000,21.142857142857142,None,46.373,3
304,1000000,21.714285714285715,None,45.496,3
312,1000000,22.285714285714285,None,73.743,3
320,1000000,22.857142857142858,None,50.761,3
328,1000000,23.428571428571427,None,61.64,3
336,1000000,24.0,None,51.877,3
344,1000000,24.571428571428573,None,49.746,3
352,1000000,25.142857142857142,None,60.346,3
360,1000000,25.714285714285715,None,75.659,3
368,1000000,26.285714285714285,None,51.056,3
376,1000000,26.857142857142858,None,49.665,3
384,1000000,27.428571428571427,None,49.616,3
392,1000000,28.0,None,77.067,3
400,1000000,28.571428571428573,None,75.831,3
408,1000000,29.142857142857142,None,47.885,3
416,1000000,29.714285714285715,None,50.306,3
424,1000000,30.285714285714285,None,55.712,3
432,1000000,30.857142857142858,None,47.425,3
440,1000000,31.428571428571427,None,59.112,3
448,1000000,32.0,None,77.926,3
456,1000000,32.57142857142857,None,75.657,3
464,1000000,33.142857142857146,None,52.478,3
472,1000000,33.714285714285715,None,49.2,3
480,1000000,34.285714285714285,None,74.443,3
488,1000000,34.857142857142854,None,56.906,3
496,1000000,35.42857142857143,None,48.859,3
504,1000000,36.0,None,56.946,3
512,1000000,36.57142857142857,None,76.823,3
528,1000000,37.714285714285715,None,47.737,3
544,1000000,38.857142857142854,None,49.278,3
560,1000000,40.0,None,58.3,3
576,1000000,41.142857142857146,None,48.102,3
592,1000000,42.285714285714285,None,63.801,3
608,1000000,43.42857142857143,None,74.111,3
624,1000000,41.6,None,57.604,3
640,1000000,42.666666666666664,None,77.952,3
656,1000000,43.733333333333334,None,94.939,3
672,1000000,44.8,None,60.954,3
688,1000000,45.86666666666667,None,94.588,3
704,1000000,44.0,None,64.3,3
720,1000000,45.0,None,61.86,3
736,1000000,46.0,None,106.409,3
752,1000000,47.0,None,75.288,3
768,1000000,48.0,None,107.403,3
784,1000000,49.0,None,68.519,3
800,1000000,50.0,None,75.887,3
816,1000000,51.0,None,64.259,3
832,1000000,52.0,None,66.789,3
848,1000000,53.0,None,68.682,3
864,1000000,54.0,None,83.785,3
880,1000000,55.0,None,67.839,3
896,1000000,56.0,None,75.398,3
912,1000000,57.0,None,63.236,3
928,1000000,58.0,None,66.317,3
944,1000000,59.0,None,68.508,3
960,1000000,60.0,None,86.647,3
976,1000000,61.0,None,77.019,3
992,1000000,62.0,None,80.26,3
1008,1000000,63.0,None,65.827,3
1024,1000000,64.0,None,78.076,3
1056,1000000,66.0,None,66.856,3
1088,1000000,68.0,None,68.333,3
1120,1000000,70.0,None,69.772,3
1152,1000000,72.0,None,72.238,3
1184,1000000,74.0,None,87.785,3
1216,1000000,76.0,None,79.008,3
1248,1000000,78.0,None,90.514,3
1280,1000000,80.0,None,78.414,3
1312,1000000,82.0,None,73.928,3
1344,1000000,84.0,None,70.779,3
1376,1000000,86.0,None,76.255,3
1408,1000000,82.82352941176471,None,87.305,3
1440,1000000,84.70588235294117,None,71.801,3
1472,1000000,86.58823529411765,None,90.043,3
1504,1000000,88.47058823529412,None,74.843,3
1536,1000000,90.3529411764706,None,76.408,3
1568,1000000,92.23529411764706,None,88.33,3
1600,1000000,94.11764705882354,None,75.864,3
1632,1000000,96.0,None,95.24,3
1664,1000000,97.88235294117646,None,89.302,3
1696,1000000,99.76470588235294,None,82.716,3
1728,1000000,101.6470588235294,None,88.17,3
1760,1000000,103.52941176470588,None,89.045,3
1792,1000000,105.41176470588235,None,71.785,3
1824,1000000,107.29411764705883,None,116.992,3
1856,1000000,103.11111111111111,None,116.655,3
1888,1000000,104.88888888888889,None,98.708,3
1920,1000000,106.66666666666667,None,81.907,3
1952,1000000,108.44444444444444,None,120.46,3
1984,1000000,110.22222222222223,None,97.301,3
2016,1000000,112.0,None,123.372,3
2048,1000000,113.77777777777777,None,122.18,3
2112,1000000,111.15789473684211,None,76.204,3
2176,1000000,114.52631578947368,None,79.14,3
2240,1000000,117.89473684210526,None,98.643,3
2304,1000000,100.17391304347827,None,272.939,3
2368,1000000,102.95652173913044,None,271.825,3
2432,1000000,105.73913043478261,None,237.539,3
2496,1000000,104.0,None,255.969,3
2560,1000000,106.66666666666667,None,291.328,3
2624,1000000,109.33333333333333,None,264.274,3
2688,1000000,112.0,None,240.592,3
2752,1000000,110.08,None,283.069,3
2816,1000000,112.64,None,373.868,3
2880,1000000,115.2,None,367.672,3
2944,1000000,117.76,None,385.81,3
3008,1000000,120.32,None,244.359,3
3072,1000000,109.71428571428571,None,136.484,3
3136,1000000,112.0,None,141.317,3
3200,1000000,114.28571428571429,None,153.922,3
3264,1000000,116.57142857142857,None,137.646,3
3328,1000000,118.85714285714286,None,107.203,3
3392,1000000,116.96551724137932,None,145.034,3
3456,1000000,119.17241379310344,None,113.91,3
3520,1000000,121.37931034482759,None,102.87,3
3584,1000000,123.58620689655173,None,135.427,3
3648,1000000,125.79310344827586,None,167.341,3
3712,1000000,123.73333333333333,None,118.346,3
3776,1000000,125.86666666666666,None,115.485,3
3840,1000000,128.0,None,109.358,3
3904,1000000,130.13333333333333,None,109.652,3
3968,1000000,128.0,None,123.465,3
4032,1000000,130.06451612903226,None,116.92,3
4096,1000000,132.1290322580645,None,117.173,3
4224,1000000,132.0,None,96.903,3
4352,1000000,136.0,None,82.602,3
4480,1000000,140.0,None,83.773,3
4608,1000000,128.0,None,41.318,3
4736,1000000,131.55555555555554,None,34.496,3
4864,1000000,131.45945945945945,None,44.387,3
4992,1000000,131.3684210526316,None,50.301,3
5120,1000000,134.73684210526315,None,32.568,3
5248,1000000,138.10526315789474,None,31.6,3
5376,1000000,141.47368421052633,None,46.015,3
5504,1000000,141.12820512820514,None,28.413,3
5632,1000000,140.8,None,26.912,3
5760,1000000,144.0,None,27.073,3
5888,1000000,140.1904761904762,None,448.89,3
6016,1000000,143.23809523809524,None,438.271,3
6144,1000000,136.53333333333333,None,532.602,3
6272,1000000,136.34782608695653,None,458.898,3
6400,1000000,139.1304347826087,None,413.198,3
6528,1000000,138.89361702127658,None,446.192,3
6656,1000000,141.61702127659575,None,378.151,3
6784,1000000,141.33333333333334,None,309.594,3
6912,1000000,135.52941176470588,None,576.097,3
7040,1000000,135.3846153846154,None,472.178,3
7168,1000000,137.84615384615384,None,440.087,3
7296,1000000,137.66037735849056,None,537.084,3
7424,1000000,140.0754716981132,None,418.555,3
7552,1000000,139.85185185185185,None,421.9,3
7680,1000000,142.22222222222223,None,417.998,3
7808,1000000,141.96363636363637,None,334.416,3
7936,1000000,141.71428571428572,None,492.858,3
8064,1000000,144.0,None,414.819,3
8192,1000000,146.28571428571428,None,246.378,3
8448,1000000,148.21052631578948,None,381.288,3
8704,1000000,152.7017543859649,None,202.664,3
8960,1000000,154.48275862068965,None,392.702,3
9216,1000000,141.7846153846154,None,61.665,3
9472,1000000,143.5151515151515,None,59.164,3
9728,1000000,145.19402985074626,None,43.448,3
9984,1000000,146.8235294117647,None,45.395,3
10240,1000000,146.28571428571428,None,34.921,3
10496,1000000,147.83098591549296,None,33.091,3
10752,1000000,149.33333333333334,None,42.99,3
11008,1000000,150.7945205479452,None,33.419,3
11264,1000000,154.3013698630137,None,30.84,3
11520,1000000,149.6103896103896,None,29.067,3
11776,1000000,150.97435897435898,None,325.857,3
12032,1000000,148.54320987654322,None,302.515,3
12288,1000000,146.28571428571428,None,282.523,3
12544,1000000,147.57647058823528,None,266.278,3
12800,1000000,148.8372093023256,None,214.846,3
13056,1000000,150.06896551724137,None,212.077,3
13312,1000000,151.27272727272728,None,289.579,3
13568,1000000,152.4494382022472,None,291.238,3
13824,1000000,148.6451612903226,None,48.333,3
14080,1000000,149.7872340425532,None,49.903,3
14336,1000000,150.90526315789472,None,38.804,3
14592,1000000,152.0,None,37.062,3
14848,1000000,153.0721649484536,None,37.695,3
15104,1000000,154.12244897959184,None,44.409,3
15360,1000000,152.07920792079207,None,35.479,3
15616,1000000,153.09803921568627,None,42.966,3
15872,1000000,149.73584905660377,None,33.849,3
16128,1000000,150.7289719626168,None,46.555,3
16384,1000000,151.7037037037037,None,32.125,3
16896,1000000,153.6,None,27.061,3
17408,1000000,155.42857142857142,None,29.112,3
17920,1000000,157.19298245614036,None,227.873,3
18432,1000000,151.08196721311475,None,44.957,3
18944,1000000,151.552,None,54.983,3
19456,1000000,154.4126984126984,None,47.384,3
19968,1000000,156.0,None,46.006,3
